NEnr.;MInfrastructure;IDCadre;TInfrastructures;IDMInfrastructure;IDTInfrastructure
67;Abattoirs;0931;RURALES;67;0
35;Adduction deeau en eau potable (AEP) (borne-fontaine, forage, eSources amenageese);0832;INFRASTRUCTURES;35;0
13;Aire de sechage (sous le soleil) des produits agricoles;0930;RURALES;13;0
215;aires de jeux;0523;INFRASTRUCTURES;215;0
121;Animation;0545;INFRASTRUCTURES;121;0
122;Antenne relais;0545;INFRASTRUCTURES;122;0
228;Assurances;0320;INFRASTRUCTURES;228;0
68;Atelier de fabrication des embarcations;0931;RURALES;68;0
145;Attractions touristiques;0523;INFRASTRUCTURES;145;0
237;Axe lourd;0836;INFRASTRUCTURES;237;0
36;Bacs de recuperation des ordures  menagers;0832;INFRASTRUCTURES;36;0
69;Bain detiqueur ;0931;RURALES;69;0
213;Banque;0320;BATIMENTS ET EQUIPEMENTS COLLECTIFS;213;0
178;Barrages;0836;INFRASTRUCTURES;178;0
37;Barrages hydroelectriques;0832;INFRASTRUCTURES;37;0
227;BEAC;0000;INFRASTRUCTURES;227;0
146;Bibliotheques;0523;INFRASTRUCTURES;146;0
208;Boucherie;0921;BATIMENTS ET EQUIPEMENTS COLLECTIFS;208;0
210;Boulangerie;0921;BATIMENTS ET EQUIPEMENTS COLLECTIFS;210;0
19;boutiques;0921;EQUIPEMENTS;19;0
179;Buse;0836;INFRASTRUCTURES;179;0
99;Cebles;0000;EQUIPEMENTS;99;0
28;Carriere d'argile;0837;INFRASTRUCTURES;28;0
29;Carriere de gravier;0837;INFRASTRUCTURES;29;0
30;Carriere de laterite;0837;INFRASTRUCTURES;30;0
31;Carriere de pierre;0837;INFRASTRUCTURES;31;0
32;Carriere de sable;0837;INFRASTRUCTURES;32;0
33;Carriere Pouzzolane;0837;INFRASTRUCTURES;33;0
131;Case de sante;0640;BATIMENTS ET EQUIPEMENTS COLLECTIFS;131;0
14;CEAC;0930;RURALES;14;0
38;Centrales thermiques;0832;INFRASTRUCTURES;38;0
232;centre culturel communal;0514;INFRASTRUCTURES;232;0
70;Centre dealevinage;0931;RURALES;70;0
71;Centre de Contrele Sanitaire;0931;RURALES;71;0
216;centre de la promotion de la femme;0243;BATIMENTS ET EQUIPEMENTS COLLECTIFS;216;0
39;Centre deenfouissement;0832;INFRASTRUCTURES;39;0
132;Centre de sante integre (CSI);0640;BATIMENTS ET EQUIPEMENTS COLLECTIFS;132;0
133;Centre de sante/medical (CS/M);0640;BATIMENTS ET EQUIPEMENTS COLLECTIFS;133;0
1;Centre d'etat civil;0307;BATIMENTS ET EQUIPEMENTS COLLECTIFS;1;0
23;Centre de television communautaire;0517;INFRASTRUCTURES;23;0
40;Centre de traitement des dechets;0832;INFRASTRUCTURES;40;0
41;Centre de tri;0832;INFRASTRUCTURES;41;0
134;Centre medical dearrondissement CMA);0640;BATIMENTS ET EQUIPEMENTS COLLECTIFS;134;0
135;Centre medical penitentiel;0640;BATIMENTS ET EQUIPEMENTS COLLECTIFS;135;0
219;Centre multifonctionnel et promotion des jeunes;0426;BATIMENTS ET EQUIPEMENTS COLLECTIFS;219;0
24;Centre multimedia;0517;INFRASTRUCTURES;24;0
147;Centres culturels;0523;INFRASTRUCTURES;147;0
148;Centres d'accueil et d'hebergement (hetels, motels, auberges, appartements, studios ou chambres ;0523;INFRASTRUCTURES;148;0
94;Centres de formations professionnelles;0425;BATIMENTS ET EQUIPEMENTS COLLECTIFS;94;0
136;"""Centres hospitaliers specialises (Centres de formation et reinsertion sociale centres de rehabilita";0000;0640;136;0
230;centre social;0742;BATIMENTS ET EQUIPEMENTS COLLECTIFS;230;0
72;Centre veterinaire;0931;RURALES;72;0
73;Centre zootechnique;0931;RURALES;73;0
74;Centre Zootechnique et de Contrele Sanitaire;0931;RURALES;74;0
75;Centre Zootechnique et de Contrele Sanitaire et Veterinaire;0931;RURALES;75;0
76;Centre zootechnique et veterinaire;0931;RURALES;76;0
77;Chambre froide;0931;RURALES;77;0
78;Champs fourragers;0931;RURALES;78;0
217;chefferies;0327;BATIMENTS ET EQUIPEMENTS COLLECTIFS;217;0
149;Chefferie traditionnelle;0523;INFRASTRUCTURES;149;0
241;Chemin de fer;0846;INFRASTRUCTURES;241;0
150;Chutes deeau;0523;INFRASTRUCTURES;150;0
100;Climatiseurs / ventilateurs / Plafonniers;0000;EQUIPEMENTS;100;0
137;Cliniques;0640;BATIMENTS ET EQUIPEMENTS COLLECTIFS;137;0
2;Commissariat;0307;BATIMENTS ET EQUIPEMENTS COLLECTIFS;2;0
233;commissariat special de police;0213;BATIMENTS ET EQUIPEMENTS COLLECTIFS;233;0
206;Comptoirs;0921;INFRASTRUCTURES;206;0
101;Consommables (Encres, Formats, Bice);0000;EQUIPEMENTS;101;0
151;Cours d'eau;0523;INFRASTRUCTURES;151;0
15;DAADER;0930;RURALES;15;0
221;DAAS;0742;BATIMENTS ET EQUIPEMENTS COLLECTIFS;221;0
79;DAEPIA;0931;RURALES;79;0
218;DAJEC;0426;BATIMENTS ET EQUIPEMENTS COLLECTIFS;218;0
180;Dalot;0836;INFRASTRUCTURES;180;0
222;DASEP;0516;BATIMENTS ET EQUIPEMENTS COLLECTIFS;222;0
80;DDEPIA;0931;RURALES;80;0
42;Decharge;0832;INFRASTRUCTURES;42;0
3;Delegation (Arrondissement, Departement, Region);0307;BATIMENTS ET EQUIPEMENTS COLLECTIFS;3;0
220;Delegation d'arrondissement des forets et de la faune;0033;BATIMENTS ET EQUIPEMENTS COLLECTIFS;220;0
43;Depets de produits petroliers;0832;INFRASTRUCTURES;43;0
181;Digue;0836;INFRASTRUCTURES;181;0
138;Dispensaire;0640;BATIMENTS ET EQUIPEMENTS COLLECTIFS;138;0
102;Documentations / Archives;0000;EQUIPEMENTS;102;0
63;Ecole maternelle ;0415;BATIMENTS ET EQUIPEMENTS COLLECTIFS;63;0
64;Ecole prescolaire ;0415;BATIMENTS ET EQUIPEMENTS COLLECTIFS;64;0
65;Ecole primaire ;0415;BATIMENTS ET EQUIPEMENTS COLLECTIFS;65;0
