NEnr;IDODDCibles;IDChapitre;IDCorrelation;ID
1;1;0735;0;1
2;1;0322;0;2
4;1;0741;0;4
3;2;0322;0;3
5;2;0741;0;5
6;2;0735;0;6
7;4;0307;0;7
8;4;0742;0;8
9;4;0741;0;9
10;4;0000;0;10
11;5;0832;0;11
12;5;0837;0;12
13;5;0829;0;13
14;5;0939;0;14
15;5;0322;0;15
16;5;0741;0;16
17;6;0028;0;17
18;7;0307;0;18
19;7;0322;0;19
20;7;0000;0;20
21;8;0307;0;21
22;8;0000;0;22
23;9;0930;0;23
24;9;0931;0;24
25;9;0322;0;25
26;9;0243;0;26
27;10;0322;0;27
28;10;0243;0;28
29;11;0930;0;29
30;11;0931;0;30
31;11;0741;0;31
32;12;0930;0;32
33;12;0028;0;33
34;13;0930;0;34
35;13;0931;0;35
36;13;0307;0;36
37;13;0000;0;37
38;14;0930;0;38
39;14;0931;0;39
40;15;0930;0;40
41;15;0921;0;41
42;16;0930;0;42
43;16;0921;0;43
44;17;0640;0;44
45;17;0307;0;45
46;17;0243;0;46
47;17;0000;0;47
48;18;0640;0;48
49;18;0307;0;49
50;18;0243;0;50
51;18;0000;0;51
52;19;0832;0;52
53;19;0640;0;53
54;20;0640;0;54
55;20;0516;0;55
56;21;0640;0;56
57;21;0742;0;57
58;22;0846;0;58
59;23;0640;0;59
60;23;0243;0;60
61;23;0000;0;61
62;24;0640;0;62
63;24;0307;0;63
64;24;0741;0;64
65;24;0000;0;65
66;25;0832;0;66
67;25;0028;0;67
68;25;0640;0;68
69;26;0640;0;69
70;28;0418;0;70
71;28;0640;0;71
72;28;0735;0;72
73;29;0640;0;73
74;29;0307;0;74
75;29;0000;0;75
76;30;0415;0;76
77;30;0425;0;77
78;30;0243;0;78
79;31;0415;0;79
80;31;0243;0;80
81;32;0418;0;81
82;32;0243;0;82
83;32;0735;0;83
84;33;0939;0;84
85;33;0425;0;85
86;33;0741;0;86
87;33;0735;0;87
88;33;0426;0;88
