Enr;UnitePaysage;ID_PUGE;IDZone;Utilisation;Potentialite;Utilisateur;Probleme;Causes;Consequences;Solutions
295;Carriere de sable;305;;Populations locales, extraction du sable pour constructions;Presence de plusieurs varietes de sable;Populations locales, extraction du sable pour constructions;Difficultes deexploitation des carrieres de sable;;Menace de leenvironnement notamment au bord du Nyong;Organiser la communaute, se rapprocher des services du MINMIDT
296;;306;;;;;;;;
95;;99;;Sacred forest Water catchment sites Hunting Forest exploitation;Natural forest exist providing a high biodiversity Could be used for touristic sites Could be used for research Customary right;MINFOF Community Forest Management Institutions Traditional  Authorities;Threatened by farming and quest for more land for settlement Urbanisation is a great threat to the wildlife Some wildlife are threat to human;;;
125;Pierres;413;;Operateurs economiques de learrondissement;Plus de 90% non exploite;Operateurs economiques de learrondissement;"Mauvais etat des voies deacces
Site pas viable
";;;"Ouverture de la piste desservant le gisement de pierres
Amenagement du site de gisement de pierres
"
126;Chutes;412;;RAS;100% non exploite;RAS;"Site tres accidente
Difficile acces
";;;"Ouverture deune voie deacces au site
Exploitation de la chute
"
166;Zone d'habitation (Rurale, Urbain, ...);174;;"Construction des habitations
Exploitations agrosylvopastorales
Infrastructures commerciales";"Architecture diversifiee
Existence des espaces vides e exploiter pour deautres constructions";;"Obstruction des voies publiques avec certaines constructions
Non respect des normes du plan deurbanisation en zone urbaine
Insuffisance des voies deacces entre les habitations
Difficulte deacces dans certaines zones dehabitation";;;"Elaborer un plan deoccupation des sols e secteurs e qui sont les sous elements du PDU. Soit un PSU.
Creer des projets deembellissement de la commune
Construire un centre deepuration des dechets speciaux"
206;;214;;;;;;;;
337;Marecage;389;100501;Cultures de contre saison ;Relativemen t important ;Cultures de contre saison ;Exploitation e petite echelle ;;Exploitation domestique ;Ameliorer l'exploitation
338;Sol;388;100501;Destine e la vente ;Non evaluee ;Destine e la vente ;"Degradation de leenvironnement ;  
Risque deaccidents ";;Fort impact environnemental ;"Encadrer les orpailleurs ;  
Promouvoir les artisans locaux "
339;Cours d'eau / Rivieres ;387;100501;"Peche,  Pisciculture ;  
Fermentation du manioc ;  
Usage domestique (lessive, vaisselle bain)";Environ 1600 Ha ;"Peche,  Pisciculture ;  
Fermentation du manioc ;  
Usage domestique (lessive, vaisselle bain)";"Absence de contrele et de gestion ;  
Envahissement des lacs/ etangs par la mauvaise herbe ";;Degradation du couvert vegetal ;"Amenagement des lacs/ etangs ;  
Protection des cours deeau  "
340;Sable;386;100501;Travaux de construction (habitation, betiments publics et ouvrages deart) ;Peu important ;Travaux de construction (habitation, betiments publics et ouvrages deart) ;"Exploitation limitee ;  
Rarete des gisements ";;Utilisation locale;Encadrer leactivite 
341;Massif rocheux;385;100501;"Construction des habitations, ouvrages deart sur la route,  
Sechage de la farine de manioc ";Important;"Construction des habitations, ouvrages deart sur la route,  
Sechage de la farine de manioc ";Faible exploitation des massifs rocheux ;;Possibilite de produire du gravier;En cadrer la mise en valeur des massifs rocheux 
342;Savane ;384;100501;Agriculteurs, eleveurs ;70% de leespace communal ;Agriculteurs, eleveurs ;"Feux de brousse pour regenerer les peturages ;  
Coupe du bois de chauffe ;  
Compactage des sols par les bovins";;Transformation en peturages et en terre agricoles ;"Encadrer la creation des peturages ;  
Reboiser ;  
Reglementer la coupe du bois de chauffe "
343;Zone de foret ( Foret Sacre, Foret Galerie, Reserve forestiere) ;383;100501;Populations (bois de chauffe et bois deeuvre) ;Important;Populations (bois de chauffe et bois deeuvre) ;"Exploitation anarchique ; 
Absence de reboisement ;  
Faible niveau deorganisation. ";;"Deforestation ;  
Perte de certaines essences ;  
Degradation du couvert vegetal";"Reglementer la coupe du bois deeuvre et de chauffe ;  
Reboiser les galeries forestieres "
696;Zones agricoles   ;795;110102;"Production des cultures vivrieres e superficie atteignant (70ha) et perennes (Cafe, cacao et vergers).
";"Disponibilite des terres pour extension des exploitations.
Terres fertiles.
Fort recours aux pratiques agroforesteries.";;"Faible capital deinvestissement.
Baisse de la fertilite et epuisement des sols.
erosion des sols.
Conflits agro-pastoraux.
Deboisement.
Feux de brousse.
Non maetrise des techniques ameliorees de production.";;;"Pratiques des methodes culturales appropriees.
Renforcer les systemes et pratiques agroforestiers existant.
Mise sur pied deun comite de gestion et de reglement de differends.
Sensibilisation sur leusage des feux de brousse."
697;Zone d'elevage;796;110102;"Cultures vivrieres vers le versant.
Peturage.
Extraction de sable et pouzzolane.";"Presence de grandes surfaces de peturage.
Presence des plantes melliferes.";;"Acces difficile.
Pente forte.
Peturage pauvre en especes fourrageres et non amenage.
Avancer progressive de la zone de culture vers la zone de peturage.
Conflits agropastoraux.
Deboisement.
Pas de mesures socio-environnementales de gestion de leespace.
Feu de brousse.
Envahissement par les adventistes (Goyavier et Bokassa).";;;"Respecter la decision de delimitation des espaces agricoles et deelevage.
Amenager les peturages (Enrichissement en especes fourrageres, mise en place des abreuvoirs et deun bain detiqueur).
Pratiquer des remblais dans les carrieres apres extraction de sable.
delimiter des espaces agricoles et deelevage."
698;Zone de foret ( Foret Sacre, Foret Galerie, Reserve forestiere) ;797;110102;"Cultures.
vivrieres.
Cultures maraecheres.
Culture perennes.
Exploitation des PFNL et fauniques (chasse).";Possibilite de creation des forets communautaires et communales.;;"Deboisement.
Exploitation illegale de la faune.
Feux de brousse et du bois de chauffe.
Non maetrise des techniques ameliorees de production.";;;"Mise en place des comites de vigilance contre leexploitation illegale de la faune et du bois de chauffe.
Pratique de leAgroforesterie."
699;Zone d'habitation (Rurale, Urbain, ...);798;110102;"Construction des habitations et edifices publics.
Agriculture.
Petit elevage.";Disponibilite des terres pour la construction.;;"Habitats en materiaux provisoires et construites anarchiquement.
Divagation des betes.
Faible superficie cultivable.
Conflits agropastoraux.
Pas de decharge municipale ni de cimetiere.
Gares routieres non construites.";;;"elaborer les documents de planification (POS, PSU).
Vulgariser le materiel durable de construction."
700;Zones minieres ;799;110102;"Exploitation miniere (sable et gravier).
Agriculture.
elevage.";Zones e potentiel eleve des ressources minieres (pierres, pouzzolane, sable et laterite avec des possibilites deexploitation.;;"Potentiel non connu et exploite anarchiquement.
Technique deexploitation e impacts negatifs sur leenvironnement.
Enclavement des sites deextraction (Voies et sites non amenages).";;;"Organisation des artisans miniers.
Prendre des mesures de gestion durable des sites de carrieres.
Amenager les voies et sites deexploitation des ressources minieres."
406;Foret;496;110105;"Plantations,
Exploitants forestiers
Chasse
pharmacopee";"4/5 de la superficie totale
plantes medicinales
produits ligneux et non ligneux
sols favorables e leagriculture
giboyeuse";"Leetat
La Commune
communautes
chefs de village - Chefs de famille";"Coupe anarchique du bois
Feux de brousse
vente illicite aux etrangers,";"Disparition de certaines essences et des especes fauniques
forte degradation
eloignement des habitations";;"Sensibilisation contre les feux de brousse et le sciage sauvage
Utilisation rationnelle des produits non ligneux
Identification des zones touchees
Organisation de la gestion,
Mise en place des systemes de contrele
Reboisement"
407;Savane ;497;110105;"Plantations,
Exploitants forestiers
Chasse
pharmacopee";"sols favorables e leagriculture
giboyeuse";"Leetat
La Commune
Communautes
chefs de village - Chefs de famille";Feux de brousse;"Disparition de certaines essences et des especes fauniques
forte degradation
eloignement des habitations";;"Sensibilisation contre les feux de brousse
Organisation de la gestion,
Mise en place des systemes de contrele
Reboisement"
408;Zone de polyculture;498;110105;Exploitations agricoles;"Grandes superficies,
Acces facile";Chefs des familles;"Difficulte deentretien,
Rarete de la main deeuvre";"Vieillissantes,
Unicite de la culture de palmier e huile";;"Responsabiliser les enfants
Organiser la gestion des exploitations"
409;Jachere;499;110105;Agriculture;"Espaces cultivables disponibles
Proches des habitations";Chefs des menages;"Appauvrissement des sols
Destruction des vivres par les rongeurs
Rechauffement des sols";"Forte degradation
Disparition de certaines essences";;"Formation en techniques culturales ameliorees
Sensibilisation e la non utilisation des feux de brousse"
410;Rocher;500;110105;"Carriere de sable
Tourisme";Tourisme;populations;Pas deinvestisseurs;Non utilisation;;Organisation de leexploitation
411;Bas-fond;501;110105;;"Exploitation des ressources non ligneuses,
Culture de bas fonds
Carrieres de sable";Les populations;Faible initiative;"Abandon,
Desinteret";;Promouvoir leexploitation des zones marecageuses et de bas-fonds.
412;Cours d'eau / Rivieres ;502;110105;"Exploitation du sable
Peche
Menage,
Consommation eau";Sources de proteines;Les populations;Pollution des eaux;Non contrele;;Creation des comites de vigilance
413;Zones d'habitation;503;110105;"Habitation
Organisation de la vie,";"Regroupement humain,
logement";"Chefs des villages, blocs
Chefs des familles";Cadre de vie non approprie;"Mauvaise organisation de lehabitat
Dispersion";;"Promouvoir le village pilote
Sensibiliser les populations au regroupement"
414;Zone d'habitation (Rurale, Urbain, ...);504;110105;Administration, residence,;Presence de certains services publics.;Sous-prefet, Maire, Chef du village;Pas de plan sommaire deurbanisme,;Construction anarchique,;;"Initier le dossier deelaboration du Plan sommaire deurbanisme
Acquerir les terrains pour mise en euvre du plan."
405;Zone de foret ( Foret Sacre, Foret Galerie, Reserve forestiere) ;495;110106;"Cultures annuelles (manioc,  bananier  plantain)
Cacaoculture"; Zone propice aux cultures perennes (cacaoyer);"Particuliers
Chef de village, 
Chef de famille
Etat (MINFOF, MINEP)";"Terres peu fertiles
Attaques des capsides
Attaques des mousses sur tiges
Vieillissement des plants de cacao
Pourritures  brunes
Insectes et nematodes
Rongeurs
Termites
";;;"Regeneration des ressources vegetales
Vulgarisation des foyers ameliores
Installation des pare-feux (foyers non inflammables)
Formation sur les pratiques culturales ameliorees
Vulgarisation des techniques deelevage des especes non conventionnelles
Vulgarisation des engrais et  pesticides organiques
Sensibilisation sur la reglementation en vigueur
Creation des forets artificielles e vocation communautaire.
Renforcement des capacites des populations en techniques de regeneration des cacaoyeres
"
