N° Enr.;ID_Potentialité;IDZoneIDCadre;Potentialités;Ressources;IDZone;IDCadre
2;551;1702060829;Moyen;Pierres;170206;0829
4;558;1102030000;"La Commune d’Evodoula regorge d’énormes potentialités dont les plus perceptibles sont les suivantes :
Existence de ressources humaines assez dynamiques;
Climat favorable à la production agricole ;
Large gamme de produits vivriers cultivés ;
Existence d’un complexe commercial de 47 boutiques et de 02 hangars de marchés à Evodoula et d’un hangar de marché périodique à Nkolassa II ;
Existence d’une carrière de sables fins à Eyeng Meyong et de nombreuses carrières de sable grossier de très faible importance le long de la rivière Ngobo ;
Présence à Evodoula, d’un lac à fort potentiel touristique ;
Existence d’un marché hebdomadaire dans la Commune ;
Existence d’environ 44 GIC, UGIC et associations dans la Commune ;
Réseaux ORANGE et MTN fonctionnels ;
Réseau électrique AES Sonel couvre 34 villages sur les 39 villages de la Commune, mais 22 hameaux des 34 villages sont non électrifié ;
Existence dans la Commune d’un tronçon bitumée de 15 km.";"Les principales ressources rencontrées dans la Commune sont les suivantes :
Vastes terres fertiles et leur compatibilité avec plusieurs cultures vivrières et pérennes ;
Carrières de sables fins et sable grossier;
Essences forestières : Ayos, Flaqué, Padoux, Iroko et Eyong ;
Produits forestiers non ligneux (Okok, Djansan, noix de kola, piment sauvage, les palmiers) ;
Produits médicinaux (voacanga) ;
Produits forestiers d’artisanat (rotins, feuilles, fibres, bambou et bois de feu).";110203;0000
1;559;1702060829;Très important en saison pluvieuse;"Sable
";170206;0829
3;560;1702060829;Moyen;Latérite ;170206;0829
5;561;1702060523;Fort;"Existence de
nombreuses
chutes";170206;0523
6;562;1702060523;Fort;Cataractes;170206;0523
7;563;1702060523;Fort;"Grottes de
Djeingué";170206;0523
8;564;1702060514;"
Elevé ";"Forte tradition
culturelle";170206;0514
9;565;1702060033;"moyen
";"
Essences
forestières";170206;0033
11;567;1102060930;"Existence  de 3 coopératives  (Maïs, manioc, cacao)
Existence de plusieurs GIC
Forte production agricole : Cultures vivrières : maïs, haricot, arachide,  manioc,  macabo, banane plantain, patate douce, l’igname, riz.
Cultures  de  rente :  cacao (environ 547T132Kg en 2014)
Cultures  maraichères :  tomate, gombo, poivron
Arbres  fruitiers :  manguiers, safoutiers,  avocatiers, pastèques.
Existence  de  deux  structures d’encadrement  du  MINADER (DAADER   et  le  pôle  d’engins agricoles)
L’écoulement de la production se fait à travers le marché de Batchenga et d’Obala
Campagne  de  la  distribution  des semences  améliorées  de  cacao,  de maïs et de riz.
Existence  d’une  case communautaire. ";;110206;0930
