NEnr;IDZoneIDCadre;ID_Probleme;IDProbleme;Probleme;IDZone;Archive;IDCadre;IDSource;_MiseAJour
1;1401050930;1;140105PB0001;Faible productivite agricole;140105;0;0930;0;
2;1401050931;2;140105PB0002;Faible rendement en elevage;140105;0;0931;0;
3;1401050640;3;140105PB0003;Difficulte deacces aux soins de sante de qualite;140105;0;0640;0;
4;1401050640;4;140105PB0004;Forte prevalence des IST/ VIH/SIDA;140105;0;0640;0;
5;1401050415;5;140105PB0005;Difficulte deacces e une education de base de qualite ;140105;0;0415;0;
6;1401050516;6;140105PB0006;Difficulte deacces e leenseignement secondaire  de qualite ;140105;0;0516;0;
7;1401050836;7;140105PB0007;Enclavement de certains villages de la Commune;140105;0;0836;0;
8;1401050426;8;140105PB0008;Faible epanouissement des jeunes;140105;0;0426;0;
9;1401050832;9;140105PB0009;Difficulte deacces e leenergie electrique de qualite;140105;0;0832;0;
10;1401050832;10;140105PB0010;Difficulte deacces des populations  e leeau potable  ;140105;0;0832;0;
11;1401050742;11;140105PB0011;Difficulte deepanouissement des couches vulnerables et des handicapes;140105;0;0742;0;
12;1401050742;12;140105PB0012;Faible epanouissement des couches marginales( Bororos);140105;0;0742;0;
13;1401050028;13;140105PB0013;Degradation de leEnvironnement;140105;0;0028;0;
14;1401050033;14;140105PB0014;Degradation du potentiel faunique et floristique;140105;0;0033;0;
15;1401050735;15;140105PB0015;Difficulte deacces aux emplois decents et e la formation professionnelle;140105;0;0735;0;
16;1401050545;16;140105PB0016;Difficulte deacces aux nouvelles technologies de leinformation et aux services postaux;140105;0;0545;0;
17;1401050419;17;140105PB0017;Difficulte deacces aux resultats de la recherche ;140105;0;0419;0;
18;1401050243;18;140105PB0018;Difficulte deepanouissement de la femme et de la famille ;140105;0;0243;0;
19;1401050516;19;140105PB0019;Difficulte dans la pratique des activites sportives ;140105;0;0516;0;
20;1401050921;20;140105PB0020;Difficulte de commercialisation des produits ;140105;0;0921;0;
21;1401050517;21;140105PB0021;Difficulte de communiquer et de seinformer;140105;0;0517;0;
22;1401050939;22;140105PB0022;Difficulte de developpement de leartisanat  et des AGR;140105;0;0939;0;
24;1401050307;24;140105PB0024;Faible developpement  de leinstitution communale ;140105;0;0307;0;
25;1401050741;25;140105PB0025;Faible epanouissement des travailleurs et retraites;140105;0;0741;0;
26;1401050829;26;140105PB0026;Faible exploitation des potentialites industrielles et des ressources minieres de la commune;140105;0;0829;0;
27;1401050514;27;140105PB0027;Faible valorisation du patrimoine  culturel;140105;0;0514;0;
28;1401050523;28;140105PB0028;Faible valorisation du potentiel touristique dans la commune;140105;0;0523;0;
29;1401050838;29;140105PB0029;Insalubrite et faible urbanisation;140105;0;0838;0;
