NEnr;ID_Source;ID_Finance;IDTFinance;Provenance;DateDebut;DateFin;MontantPrevu;MontantRealise;Observation
514;514;236;RECETTES;;01/01/2012;30/06/2012;20 235 510,000000;20 235 510,000000;
707;707;431;RECETTES;;01/01/2007;31/12/2007;26 396 332,000000;26 396 332,000000;
708;708;432;RECETTES;;01/01/2008;31/12/2008;19 990 328,000000;19 990 328,000000;
134;134;60;DEPENSES;Acquisition         immobilisation corporelles en cours;;;22 500 000,000000;22 500 000,000000;
135;135;60;DEPENSES;Acquisition         immobilisation corporelles en cours;;;87 000 000,000000;87 000 000,000000;
159;159;61;DEPENSES;Acquisition         immobilisation corporelles en cours;;;54 773 310,000000;54 773 310,000000;
161;161;61;DEPENSES;Acquisition des terrains;;;8 000 000,000000;8 000 000,000000;
747;747;129;INVESTISSEMENT;Acquisition immobilisation corporelles en cours;01/01/2012;31/12/2012;105 650 000,000000;0,000000;
345;345;91;INVESTISSEMENT;Agencements  et amenagements;01/01/2011;31/12/2011;10 000 000,000000;0,000000;
110;110;59;DEPENSES;Agencements  et amenagements;;;158 128 000,000000;158 128 000,000000;
133;133;60;DEPENSES;Agencements  et amenagements;;;38 000 000,000000;38 000 000,000000;
157;157;61;DEPENSES;Agencements  et amenagements;;;71 000 000,000000;71 000 000,000000;
748;748;129;INVESTISSEMENT;Agencements  et amenagements;01/01/2012;31/12/2012;10 000 000,000000;0,000000;
762;762;461;INVESTISSEMENT;Agencements  et amenagements;01/01/2013;31/12/2013;41 500 000,000000;0,000000;
57;57;6;;Amende de simple police ;;;0,000000;83 000,000000;
244;244;75;DEPENSES;Amortissement des immobilisations corporelles;01/01/2011;31/12/2011;137 625 350,000000;137 625 350,000000;
356;356;104;FONCTIONNEMENT;Appui e l'autorite Administratives;01/01/2011;31/12/2011;6 700 000,000000;4 600 000,000000;
372;372;105;FONCTIONNEMENT;Appui e l'autorite Administratives;01/01/2012;31/12/2012;6 700 000,000000;4 390 000,000000;
388;388;106;FONCTIONNEMENT;Appui e l'autorite Administratives;01/01/2013;31/12/2013;6 700 000,000000;4 161 560,000000;
225;225;73;DEPENSES;Appui e l'autorite Administratives;01/01/2009;31/12/2009;6 250 000,000000;6 250 000,000000;
236;236;74;DEPENSES;Appui e l'autorite Administratives;01/01/2010;31/12/2010;2 560 000,000000;2 560 000,000000;
247;247;75;DEPENSES;Appui e l'autorite Administratives;01/01/2011;31/12/2011;6 100 000,000000;6 100 000,000000;
341;341;91;FONCTIONNEMENT;Autres    charges    et    pertes diverses;01/01/2011;31/12/2011;21 174 464,000000;0,000000;
106;106;59;DEPENSES;Autres    charges    et    pertes diverses;;;15 689 984,000000;15 689 984,000000;
128;128;60;DEPENSES;Autres    charges    et    pertes diverses;;;34 545 968,000000;34 545 968,000000;
152;152;61;DEPENSES;Autres    charges    et    pertes diverses;;;31 845 968,000000;31 845 968,000000;
218;218;73;DEPENSES;Autres    charges    et    pertes diverses;01/01/2009;31/12/2009;49 299 969,000000;49 299 969,000000;
232;232;74;DEPENSES;Autres    charges    et    pertes diverses;01/01/2010;31/12/2010;19 997 250,000000;19 997 250,000000;
241;241;75;DEPENSES;Autres    charges    et    pertes diverses;01/01/2011;31/12/2011;42 760 000,000000;42 760 000,000000;
344;344;91;INVESTISSEMENT;Autres  immobilisations corporelles;01/01/2011;31/12/2011;112 050 000,000000;0,000000;
109;109;59;DEPENSES;Autres  immobilisations corporelles;;;39 900 000,000000;39 900 000,000000;
