N° Enr.;Code_Region;Libelle;Masculin;Feminin;Total;Code_Pays;Accessible;DateCreation;Densité;Superficie;NbDepartement;NbCommune;NbLocalité
1;10;ADAMAOUA;438913;445376;884289;1;1;;14,000000;63 701,000000;5;22;0
2;11;CENTRE;1552362;1545682;3098044;1;1;;45,000000;68 926,000000;10;75;0
3;12;EST;385145;386610;771755;1;1;;71,000000;10 900,000000;4;18;0
4;13;EXTREME-NORD;1535247;1576545;3111792;1;1;;91,000000;34 246,000000;6;48;0
5;14;LITTORAL;1260937;1249326;2510263;1;1;;124,000000;20 239,000000;4;36;0
6;15;NORD;836927;851032;1687959;1;1;;26,000000;65 576,000000;4;22;0
7;16;NORD-OUEST;828862;900091;1728953;1;1;;97,000000;17 812,000000;7;35;0
8;17;OUEST;805478;914569;1720047;1;1;;124,000000;13 892,000000;8;40;0
9;18;SUD;321343;313312;634655;1;1;;13,000000;47 191,000000;4;33;0
10;19;SUD-OUEST;666822;649257;1316079;1;0;;54,000000;24 571,000000;6;33;0
