Enr;IDPRessources;IDZone;Ressource;Caracteristique;UtilisationActuelle;Potentialite;Contrainte;ActionaMener;AccesControle;Archive;IDSource;_MiseAJour;CoordX;CoordY;CoordZ;ModeGestion;Tendances
1;1;170201;Cultures de rente (cafe, cacao, palmier e huile);;;Vastes savanes e sols fertiles;Ignorance des techniques modernesOisivete des jeunesnsuffisance des semences amelioreesInsuffisance de moyens financiersMauvais etat des routesDifficultes de transport;;; ;0;;0;0;0;;
2;2;170201;Cultures vivrieres (manioc, taro,macabo, arachide, igname);;;Main deoeuvre abondante et jeune;Ignorance des techniques modernesOisivete des jeunesnsuffisance des semences amelioreesInsuffisance de moyens financiersMauvais etat des routesDifficultes de transport;;; ;0;;0;0;0;;
3;3;170201;Sable, pierre (granite), laterite;;;Existence de carrieres de sable et de pierre exploitable;Exploitationanarchique et archaeque;;; ;0;;0;0;0;;
4;4;170201;Existence de nombreux sites touristiques;;;Chefferies, forets sacrees, caractere pittoresque des paysages, ceremonies traditionnelles desfunerailles;Non amenagement des sitesInterdits traditionnelsnexistence deune strategie de promotion du tourismensuffisance de moyens financiersDifficultes deacces aux sites;;; ;0;;0;0;0;;
5;5;170201;Sols ferralitiques constitues de roches metamorphiques (gneiss, quartz ;;;Vaste etendue de plateau propice eleagriculture et e leelevage;Pratique des feux de BrousseRavinement des sols de aux fortes pluiesPratique de la culture extensive sans jachere entrainant leappauvrissement des solsExistence de conflits foncier;;; ;0;;0;0;0;;
6;6;170201;Fortes Ressources humaines ;;;Presence deune forte Elite Jeunesse de la population (75 % a moins de 45 ans);Manque de dynamismeExode ruralFaible densite de la Population (moins de 65 Habitants au km2);;; ;0;;0;0;0;;
7;7;170201;Forte tradition culturelle;;;Plusieurs dance et musiqueRites dans les forets sacreesCeremonies des funerailles, riches en couleursRespect de la tradition (Chefferies;Inexistence deune strategie de promotion de la culture;;; ;0;;0;0;0;;
8;8;170505;Ressources minieres;la Commune de Santchou regorge de ressources minieres, on y retrouve   du   sable   (Fongwang,   Nden   Efoungowo,   Tawoum,      Ntsala,   Nganzom, NdenMatock, Ntiem,  Nfonsam, Mboukok, Ngwatta, Mbongo,  Mokot, Mogot, Nteingue, Ngang,  Singaim,  Mankang,  Lefock,  Azong,  Litieu,  Bebong,  Meket,  Bale  et  Letop),  les pierres (Meket,  Bebong,  Nden Efoungowo,  Fonguetafo,    Moukelewoum,  Meleu,  Mela, Bamia, Siteu, Litieu,  Nguiango, Bale, Nka, Tawoum, Nfonsam et Mogonga), le gravier (NdenEfoungowo et Meket) et la laterite (Tous les villages du groupement Fondonera, Ntiem et Nfonsam) dont leexploitation rationnelle serait une source percuniere de revenu tant pour la population que pour leInstitution communale.;;;;;; ;0;;0;0;0;;
9;9;110603;Terres cultivables;;;plus de 70 % e 80% de terres non encore cultivees;Mauvaise technique culturalesDevastation des cultures par les rongeurs et autres ravageurs;;; ;0;;0;0;0;;
10;10;110603;Graviers et pierres;;;;Exploitation anarchique des carrieres deune maniere occasionnelle;;; ;0;;0;0;0;;
11;11;110603;Foret dense et marecages;;;Richesse faunique et floristique, PFNL (moabi, Mangue sauvage, Cola sauvage, Strophantu, Ebene, Cacao sauvage, Yolimbe).Faune sauvage;"Coupe artisanale incontrelee et illicite ;Absence de reboisementBraconnage";;; ;0;;0;0;0;;
12;12;110603;Zones de cours deeau;;;Poissonneux et riches en ressources sableuses;Exploitation ne tenant pas compte de la protection de leenvironnement;;; ;0;;0;0;0;;
13;13;110603;Sols;;;Ferralitiques jaunes;Mauvaises techniques deentretien des sols;;; ;0;;0;0;0;;
14;14;110603;Conditions naturelles;;;favorables e leelevage et e leagriculture (pluviometrie suffisante, relief favorable e la mecanisation agricole;Non maitrise des phenomenes dus au changement climatique;;; ;0;;0;0;0;;
15;15;110603;Financement des activites de developpement;;;La presence de 02 etablissements de micro finance, MC2 et SOS WOMEN;Ignorance des techniques de montage des projets,;;; ;0;;0;0;0;;
16;16;110603;Fortes Ressources humaines ;;;Tres jeune, dynamique et diversifiee;Alcoolisme, pauvrete et absence deunite entre les elites originaires de la communes, combats politiques;;; ;0;;0;0;0;;
17;17;140105;Carrieres  de  sable;;;Les  carrieres  de  sable non  estime  e  Abang,  Lala  village,  Kolla  mission,  Manengoteng,  Manjo-Etam et dans le cours deeau Kandja. ;;;; ;0;;0;0;0;;
18;18;140105;Carriere de Pouzzolane;;;Carriere de Pouzzolane non estime e Ngol. ;;;; ;0;;0;0;0;;
19;19;140105;Carrieres de pierres;;;Les carrieres de pierres potentielles non estimes e Ndom, Badjoungue, Nsoung, Namba, Abang, Lala village;;;; ;0;;0;0;0;;
20;20;140105;Carriere deargile blanche;;;Carriere deargile blanche : potentiel  non estime e Ndom. ;;;; ;0;;0;0;0;;
21;21;140105;Forets;;;Les  forets  e : Mantem 1 et 2, Nelohe, lala village,  Kolla  carrefour,  Kolla  mission,  Kolla  songho, Abang,  Ngol, Njoumbeng, Mouandong,  Nsoung, Mouakoumel,  Badjoungue;;;; ;0;;0;0;0;;
22;22;140105;Cours deeau poissonneux;;;Les cours deeau poissonneux :  La  principale  riviere  est  la  dibombe,  cours deeau traversant learrondissement du nord au sud avec les principaux  affluents  qui  sont :  Gomo, midjok, ekouk, ndibe, mbouh et ndibe-emalte.;;;; ;0;;0;0;0;;
23;23;140105;Terres cultivables;;;terres  cultivables,  produits  forestiers  ligneux  et  non  ligneux,  sites  touristiques  (chutes,  lacs, monts, e etc);;;; ;0;;0;0;0;;
24;24;110301;bas fonds ;Sols fertiles;Cultures maraecheres ;2  %  de  la superficie  de  la Commune;Pratique  de  leagriculture traditionnelle pollution  des  cours  deeau  par  les engrais chimiques Inondation   ;;; ;0;;0;0;0;;
25;25;110301;bas fonds ;Sols sablonneux;Extraction  du sable ;5% de la superficie  de la Commune ;Difficultes  deacces  aux  differentes carrieres Absence  de  recettes  liees  e leextraction du sable Penibilite des travaux deextraction;;; ;0;;0;0;0;;
26;26;110301;Bas fonds ;Terre  hydromorphe ;Pratique  de  la pisciculture Peche traditionnelle dans les mares ;1%  des  zones  de bas fonds ; Pratique  de  la  pisciculture traditionnelle   Insuffisance  de  moyens  techniques deexploitation de ces zones   Productivite faible Inondation;;; ;0;;0;0;0;;
27;27;110301;Plateau ;Zone  favorable   e lehabitat Sols  fertiles  par endroit Savane;Construction dehabitations Culture vivriere ;20%  de  la superficie  de  la Commune ;Absence deun plan de lotissement Litige foncier  Pratique de leAIB Destruction  des  cultures  par  les ravageurs  ;;; ;0;;0;0;0;;
28;28;110301;Savane ;Lisiere    des forets  secondaire et avec des sols   fertiles   ;Construction dehabitations Cultures vivrieres Cultures  de rente  ;90%  de  la superficie  de  la Commune ;Construction  anarchique  des habitats Insalubrite autour des habitats  Litiges fonciers  ;;; ;0;;0;0;0;;
29;29;110301;Lateritique ;Sols lateritiques ;Extraction  de  la laterite ;15%  de  la superficie  de  la Commune;Acces difficile aux carrierePenibilites des travaux ;;; ;0;;0;0;0;;
30;30;110301;Marecages ;Presence deeau surplombant les sols, surtout le long des cours deeau ;Peche traditionnelle des  silures  et carpes  en periode  de decrue  Cultures vivrieres  et maraicheres Pepiniere cacaoyer ;45% de la superficie de la Commune ; Inondation des  zones de terres cultivables   Pourriture des plantes ;;; ;0;;0;0;0;;
31;31;120201;Ressources minieres;;Agriculture;; Appauvrissement des sols Destruction des champs de cultures vivrieres par les rongeurs   Rechauffement des sols ;Formation des producteurs en techniques culturales ameliorees Sensibilisation e la non utilisation systematique des feux de brousse Formation e leutilisation rationnelle des pesticides et herbicides ;Chef de menages; ;0;;0;0;0;;
32;32;120201;Foret dense et marecages;;Plantations Exploitation  forestiere Chasse Pharmacopee ;;Coupe anarchique du bois Feux de brousse Pygmees obliges de replier aux abords des villages bantous sur la route ; Sensibilisation pour une  gestion durable de la foret Creation des Comites villageois de lutte contre la coupe frauduleuse de bois et le braconnageSensibilisation contre les feux de brousse Sensibilisation pour leutilisation rationnelle des PFNL Identification des zones degradees Sensibilisation pour le  reboisement ;LeEtat La Commune Les Communautes Les Chefs de village Les Chefs de famille; ;0;;0;0;0;;
33;33;120201;Bas fonds ;; Activites generatrices de revenus Alimentation population Construction betiments et ouvrages deart ;;Manque de financement ;Sensibilisation des investisseurs potentiels Organisation de leexploitation ;Les populations ; ;0;;0;0;0;;
34;34;120201;Zones de cours deeau;;Carriere de sable Peche Lessive Consommation eau ;;Pollution des eaux ;Creation des Comites de vigilances ;Les populations ; ;0;;0;0;0;;
35;35;170601;Carrieres  de  sable;;fort courant deeau qui empeche leextraction du sable pendant la saison pluvieuseLa carriere neest exploitee queen saison pluvieuse Carriere exploitee uniquement en saison de pluies Ces carrieres ne sont pas reellement exploitees e cause du degre deargilite que contient le sable;Tres important : 03 e 05 camions/jour FaibleMoyen Important;;exploitation artisanale et saisonniere (saison seche) Leexploitation qui se fait de maniere artisanale est libre pour tous et est un gagne pain pour les jeunes du village. artisanale;; ;0;;0;0;0;;
36;36;170601;Carrieres de pierres;;Acces difficileAbsence de voie deacces;Importanttres eleve;;InexploiteeArtisanale;; ;0;;0;0;0;;
37;37;170601;Lateritique ;;Acces difficile;FaibleImportant;;Non exploitee;; ;0;;0;0;0;;
38;38;170701;Forets;;Chefs traditionnels Notables Populations locales  ;Environ 10 000 ha Essences ligneuses exploitables Bois de chauffage Faune Produits forestiers non ligneux (PFNL) Plantes medicinales ;Mauvais etat des voies deacces;Amenagement des voies de dessertes Delimitation et securisation du perimetre des forets sacrees ;; ;0;;0;0;0;;
39;39;170701;Forets;;Populations locales Scieurs artisanaux ;Essences ligneuses exploitables Bois de chauffage Faune Produits forestiers non ligneux (PFNL) Plantes medicinales;Exploitation frauduleuse  Deboisement e des fins agricoles Menace par les feux de brousse  Rarefaction des especes floristiques ;Reboisement des espaces Delimitation des aires protegees Realisation des pare-feux en saison seche et sensibilisation des populations sur les mefaits des feux de brousse ;; ;0;;0;0;0;;
40;40;170701;Zones de cours deeau;;Menages Agriculteurs eleveurs Automobilistes etc;Sable Poissons Eau pour ;Pollution par les activites menageres et agricoles Proliferation des maladies hydriques Inondation pendant la saison de pluie ;Amenagement des lieux appropries pour la lessive et autres activites domestiques hors du lit des cours deeau Delimitation des perimetres reserves aux cultures maraecheres loin des berges des cours deeau Construction des ouvrages hydrauliques pour leapprovisionnement des populations en eau potable Amenagement des mares deeau e betail ;; ;0;;0;0;0;;
41;41;170701;Forets;;Proprietaire  Population Utilisee pour faire la charpente des maisons  Utilisee comme bois de chauffage  Transformation en planche et poteau electrique et ;abondance dearbres ;Contribue e leassechement du sol  Absence de materiels et de technique deexploitation Infertilite du sol croissante Occupation des espaces agricoles ;Rationalise la culture  Appui en materiels et en encadrement Mise en place des comites de gestion Renforcement du contrele Reduire leextension de leeucalyptus;; ;0;;0;0;0;;
42;42;170701;Flore et Faune;;Chasseurs;Reptiles (serpents, varans) Rongeurs (rats palmistes, herissons) Primates (singes) Oiseaux (Perdrix, Corbeaux) Mammiferes (Biches, antilopes lievres) ;Braconnage Forte consommation de la viande de brousse Destruction de lehabitat de la faune par les feux de brousse, leagriculture et leurbanisation ;education environnementale des populations sur la preservation de la biodiversite Initiation des populations dans leelevage ;; ;0;;0;0;0;;
43;43;170701;Carrieres  de  sable;;Populations locales Chantiers de construction ;Sable fin Sable blanc ;Mauvais etat des voies deacces dans les carrieres Exploitation artisanale Conflits lies e leexploitation avec la population ;Rehabilitation des voies de desserte des carrieres Modernisation du materiel deexploitation Reversement des redevances minieres aux populations riveraines concernees  ;; ;0;;0;0;0;;
